address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"2462 BANCROFT WY BERKELEY, CA 94704 ",2462,BANCROFT WY,BERKELEY,CA,94704,-122.260003,37.868328,06,001,422800,2
"1638 STUART ST BERKELEY, CA 94703 ",1638,STUART ST,BERKELEY,CA,94703,-122.275803,37.857135,06,001,423400,3
"841 SAN CARLOS AV ALBANY, CA 94706 ",841,SAN CARLOS AV,ALBANY,CA,94706,-122.289064,37.891431,06,001,420100,3
"2033 HASTE ST BERKELEY, CA 94704 ",2033,HASTE ST,BERKELEY,CA,94704,-122.268669,37.864996,06,001,422901,2
"2840 CALIFORNIA ST BERKELEY, CA 94703 ",2840,CALIFORNIA ST,BERKELEY,CA,94703,-122.277555,37.855698,06,001,423400,4
"2870 ADELINE ST BERKELEY, CA 94703 ",2870,ADELINE ST,BERKELEY,CA,94703,-122.268747,37.856923,06,001,423500,3
"1436 NEILSON ST BERKELEY, CA 94702 ",1436,NEILSON ST,BERKELEY,CA,94702,-122.290704,37.877921,06,001,421900,3
"712 MADISON ST ALBANY, CA 94706 ",712,MADISON ST,ALBANY,CA,94706,-122.302072,37.89326,06,001,420302,1
"2124 NINTH ST BERKELEY, CA 94710 ",2124,NINTH ST,BERKELEY,CA,94710,-122.294046,37.866361,06,001,423200,1
"3201 ADELINE ST BERKELEY, CA 94703 ",3201,ADELINE ST,BERKELEY,CA,94703,-122.270202,37.850589,06,001,423901,1
"1009 MILLER AV BERKELEY, CA 94708 ",1009,MILLER AV,BERKELEY,CA,94708,-122.260216,37.894465,06,001,421500,1
"813 SAN DIEGO RD BERKELEY, CA 94707 ",813,SAN DIEGO RD,BERKELEY,CA,94707,-122.271385,37.894278,06,001,421200,2
"2614 WARRING ST BERKELEY, CA 94704 ",2614,WARRING ST,BERKELEY,CA,94704,-122.250571,37.863453,06,001,423700,1
"1522 WOOLSEY ST BERKELEY, CA 94703 ",1522,WOOLSEY ST,BERKELEY,CA,94703,-122.277542,37.850446,06,001,424001,3
"27 PANORAMIC WAY BERKELEY, CA 94704 ",27,PANORAMIC WAY,BERKELEY,CA,94704,-122.248944,37.868522,06,001,422700,1
"1234 JOSEPHINE ST BERKELEY, CA 94703 ",1234,JOSEPHINE ST,BERKELEY,CA,94703,-122.275826,37.883469,06,001,421800,1
"1517 SUMMIT RD BERKELEY, CA 94708 ",1517,SUMMIT RD,BERKELEY,CA,94708,-122.247445,37.882032,06,001,421600,1
"111 TAMALPAIS RD BERKELEY, CA 94708 ",111,TAMALPAIS RD,BERKELEY,CA,94708,-122.26001,37.885461,06,001,421500,3
"2533 RIDGE RD BERKELEY, CA 94709 ",2533,RIDGE RD,BERKELEY,CA,94709,-122.258899,37.876428,06,001,422500,3
"2330 WARRING ST BERKELEY, CA 94704 ",2330,WARRING ST,BERKELEY,CA,94704,-122.250893,37.868154,06,001,422700,3
"1635 BERKELEY WAY BERKELEY, CA 94703 ",1635,BERKELEY WAY,BERKELEY,CA,94703,-122.278339,37.872029,06,001,422300,3
"2219 JEFFERSON AV BERKELEY, CA 94703 ",2219,JEFFERSON AV,BERKELEY,CA,94703,-122.277915,37.867379,06,001,423000,3
"1841 SPRUCE ST BERKELEY, CA 94709 ",1841,SPRUCE ST,BERKELEY,CA,94709,-122.265193,37.874801,06,001,422500,3
"1076 PARK HILLS RD BERKELEY, CA 94708 ",1076,PARK HILLS RD,BERKELEY,CA,94708,-122.254497,37.892324,06,001,421500,1
"1334 WALNUT ST BERKELEY, CA 94709 ",1334,WALNUT ST,BERKELEY,CA,94709,-122.268811,37.882631,06,001,421700,1
"701 CRESTON RD BERKELEY, CA 94708 ",701,CRESTON RD,BERKELEY,CA,94708,-122.264123,37.900288,06,001,421100,1
"1529 RUSSELL ST BERKELEY, CA 94703 ",1529,RUSSELL ST,BERKELEY,CA,94703,-122.278136,37.855425,06,001,423400,4
"1247 BRIGHTON AV ALBANY, CA 94706 ",1247,BRIGHTON AV,ALBANY,CA,94706,-122.296129,37.897931,06,001,420200,1
"1242 BURNETT ST BERKELEY, CA 94702 ",1242,BURNETT ST,BERKELEY,CA,94702,-122.284902,37.853153,06,001,423300,3
"1932 HASTE ST BERKELEY, CA 94704 ",1932,HASTE ST,BERKELEY,CA,94704,-122.270598,37.864193,06,001,422902,1
"69 NORTH GATE AV BERKELEY, CA 94708 ",69,NORTH GATE AV,BERKELEY,CA,94708,-122.255993,37.885754,06,001,421600,2
"2161 ALLSTON WY BERKELEY, CA 94704 ",2161,ALLSTON WY,BERKELEY,CA,94704,-122.266427,37.869847,06,001,422902,2
"2313 EIGHTH ST BERKELEY, CA 94710 ",2313,EIGHTH ST,BERKELEY,CA,94710,-122.293567,37.863447,06,001,423200,2
"2501 DANA ST BERKELEY, CA 94704 ",2501,DANA ST,BERKELEY,CA,94704,-122.260393,37.864649,06,001,423602,1
"2727 ALCATRAZ AV BERKELEY, CA 94705 ",2727,ALCATRAZ AV,BERKELEY,CA,94705,-122.251254,37.851834,06,001,423800,3
"1012 CRESTON RD BERKELEY, CA 94708 ",1012,CRESTON RD,BERKELEY,CA,94708,-122.259179,37.894844,06,001,421500,1
"2501 TENTH ST BERKELEY, CA 94710 ",2501,TENTH ST,BERKELEY,CA,94710,-122.290375,37.860647,06,001,422000,1
"510 THE ALAMEDA BERKELEY, CA 94707 ",510,THE ALAMEDA,BERKELEY,CA,94707,-122.280388,37.9004,06,001,421200,4
"2950 LINDEN AV BERKELEY, CA 94705 ",2950,LINDEN AV,BERKELEY,CA,94705,-122.249856,37.856815,06,001,423800,3
"2118 CHANNING WY BERKELEY, CA 94704 ",2118,CHANNING WY,BERKELEY,CA,94704,-122.266439,37.865655,06,001,422901,1
"910 CHANNING WY BERKELEY, CA 94710 ",910,CHANNING WY,BERKELEY,CA,94710,-122.293991,37.861862,06,001,423200,2
"2416 DOWLING PL BERKELEY, CA 94705 ",2416,DOWLING PL,BERKELEY,CA,94705,-122.259024,37.854331,06,001,423902,2
"2851 SHASTA RD BERKELEY, CA 94708 ",2851,SHASTA RD,BERKELEY,CA,94708,-122.25457,37.887896,06,001,421500,2
"1962 YOSEMITE RD BERKELEY, CA 94707 ",1962,YOSEMITE RD,BERKELEY,CA,94707,-122.276562,37.895749,06,001,421200,3
"1225 ASHBY AV BERKELEY, CA 94702 ",1225,ASHBY AV,BERKELEY,CA,94702,-122.285844,37.852592,06,001,423300,3
"2126 CALIFORNIA ST BERKELEY, CA 94703 ",2126,CALIFORNIA ST,BERKELEY,CA,94703,-122.27991,37.868646,06,001,423000,1
"2230 DURANT AV BERKELEY, CA 94704 ",2230,DURANT AV,BERKELEY,CA,94704,-122.264343,37.866822,06,001,422800,3
"2924 CLAREMONT AV BERKELEY, CA 94705 ",2924,CLAREMONT AV,BERKELEY,CA,94705,-122.245423,37.858256,06,001,423700,2
"2530 PIEDMONT AV BERKELEY, CA 94704 ",2530,PIEDMONT AV,BERKELEY,CA,94704,-122.251829,37.864573,06,001,423700,3
"753 KEELER AV BERKELEY, CA 94708 ",753,KEELER AV,BERKELEY,CA,94708,-122.263942,37.898209,06,001,421100,1
"1917 FAIRVIEW ST BERKELEY, CA 94703 ",1917,FAIRVIEW ST,BERKELEY,CA,94703,-122.269629,37.85117,06,001,423901,1
"2407 DANA ST BERKELEY, CA 94704 ",2407,DANA ST,BERKELEY,CA,94704,-122.260528,37.866228,06,001,422800,2
"2739 DERBY ST BERKELEY, CA 94705 ",2739,DERBY ST,BERKELEY,CA,94705,-122.251763,37.862436,06,001,423700,3
"3004 DOHR ST BERKELEY, CA 94702 ",3004,DOHR ST,BERKELEY,CA,94702,-122.28067,37.852957,06,001,424002,1
"1243 ASHBY AVE BERKELEY, CA 94702 ",1243,ASHBY AVE,BERKELEY,CA,94702,-122.284794,37.852806,06,001,423300,3
"2116 ROOSEVELT AV BERKELEY, CA 94703 ",2116,ROOSEVELT AV,BERKELEY,CA,94703,-122.276538,37.869435,06,001,423000,1
"1522 DWIGHT WY BERKELEY, CA 94703 ",1522,DWIGHT WY,BERKELEY,CA,94703,-122.280178,37.862042,06,001,423400,1
